TIME	TEMP
2015-1-13T0:37:56Z	3.937
2015-1-13T0:38:7Z	3.937
2015-1-13T0:38:18Z	3.937
2015-1-13T0:38:29Z	3.937
2015-1-13T0:38:40Z	4.000
2015-1-13T0:38:51Z	4.000
2015-1-13T0:39:2Z	4.000
2015-1-13T0:39:13Z	4.000
2015-1-13T0:39:24Z	3.937
2015-1-13T0:39:35Z	3.937
2015-1-13T0:39:46Z	3.937
2015-1-13T0:39:57Z	3.937
2015-1-13T0:40:8Z	3.937
2015-1-13T0:40:19Z	3.875
2015-1-13T0:40:31Z	3.937
2015-1-13T0:40:42Z	3.875
2015-1-13T0:40:53Z	3.875
2015-1-13T0:41:4Z	3.875
2015-1-13T0:41:15Z	3.937
2015-1-13T0:41:26Z	3.937
2015-1-13T0:41:37Z	3.937
2015-1-13T0:41:48Z	3.937
2015-1-13T0:41:59Z	3.937
2015-1-13T0:42:10Z	3.937
2015-1-13T0:42:21Z	3.937
2015-1-13T0:42:32Z	3.937
2015-1-13T0:42:43Z	3.937
2015-1-13T0:42:54Z	3.937
2015-1-13T0:43:5Z	3.937
2015-1-13T0:43:17Z	3.875
2015-1-13T0:43:28Z	3.937
2015-1-13T0:43:39Z	3.937
2015-1-13T0:43:50Z	3.875
2015-1-13T0:44:1Z	3.875
2015-1-13T0:44:12Z	3.812
2015-1-13T0:44:23Z	3.812
2015-1-13T0:44:34Z	3.812
2015-1-13T0:44:45Z	3.812
2015-1-13T0:44:56Z	3.875
2015-1-13T0:45:7Z	3.875
2015-1-13T0:45:18Z	3.937
2015-1-13T0:45:29Z	3.937
2015-1-13T0:45:40Z	3.937
2015-1-13T0:45:51Z	3.937
2015-1-13T0:46:3Z	3.937
2015-1-13T0:46:14Z	3.875
2015-1-13T0:46:25Z	3.875
2015-1-13T0:46:36Z	3.875
2015-1-13T0:46:47Z	3.875
2015-1-13T0:46:58Z	3.875
2015-1-13T0:47:9Z	3.875
2015-1-13T0:47:20Z	3.875
2015-1-13T0:47:31Z	3.875
2015-1-13T0:47:42Z	3.875
2015-1-13T0:47:53Z	3.875
2015-1-13T0:48:4Z	3.875
2015-1-13T0:48:15Z	3.875
2015-1-13T0:48:26Z	3.812
2015-1-13T0:48:37Z	3.812
2015-1-13T0:48:49Z	3.812
2015-1-13T0:49:0Z	3.812
2015-1-13T0:49:11Z	3.812
2015-1-13T0:49:22Z	3.812
2015-1-13T0:49:33Z	3.812
2015-1-13T0:49:44Z	3.812
2015-1-13T0:49:55Z	3.812
2015-1-13T0:50:6Z	3.812
2015-1-13T0:50:17Z	3.812
2015-1-13T0:50:28Z	3.812
2015-1-13T0:50:39Z	3.812
2015-1-13T0:50:50Z	3.812
2015-1-13T0:51:1Z	3.812
2015-1-13T0:51:12Z	3.812
2015-1-13T0:51:23Z	3.875
2015-1-13T0:51:35Z	3.937
2015-1-13T0:51:46Z	3.937
2015-1-13T0:51:57Z	3.937
2015-1-13T0:52:8Z	3.875
2015-1-13T0:52:19Z	3.875
2015-1-13T0:52:30Z	3.812
2015-1-13T0:52:41Z	3.812
2015-1-13T0:52:52Z	3.750
2015-1-13T0:53:3Z	3.812
2015-1-13T0:53:14Z	3.812
2015-1-13T0:53:25Z	3.812
2015-1-13T0:53:36Z	3.812
2015-1-13T0:53:47Z	3.812
2015-1-13T0:53:58Z	3.812
2015-1-13T0:54:10Z	3.812
2015-1-13T0:54:21Z	3.812
2015-1-13T0:54:32Z	3.812
2015-1-13T0:54:43Z	3.875
2015-1-13T0:54:54Z	3.812
2015-1-13T0:55:5Z	3.750
2015-1-13T0:55:16Z	3.750
2015-1-13T0:55:27Z	3.750
2015-1-13T0:55:38Z	3.750
2015-1-13T0:55:49Z	3.750
2015-1-13T0:56:0Z	3.750
2015-1-13T0:56:11Z	3.750
2015-1-13T0:56:22Z	3.750
2015-1-13T0:56:33Z	3.750
2015-1-13T0:56:45Z	3.750
2015-1-13T0:56:56Z	3.750
2015-1-13T0:57:7Z	3.750
2015-1-13T0:57:18Z	3.750
2015-1-13T0:57:29Z	3.750
2015-1-13T0:57:40Z	3.750
2015-1-13T0:57:51Z	3.750
2015-1-13T0:58:2Z	3.750
2015-1-13T0:58:13Z	3.687
2015-1-13T0:58:24Z	3.750
2015-1-13T0:58:35Z	3.750
2015-1-13T0:58:46Z	3.750
2015-1-13T0:58:57Z	3.750
2015-1-13T0:59:8Z	3.687
2015-1-13T0:59:19Z	3.687
